Name,Measure,Measure Info,Geo Place Name,Time Period,Start_Date,Data Value
Nitrogen dioxide (NO2),Mean,ppb,East New York,Summer 2018,06/01/2018,11.97
Nitrogen dioxide (NO2),Mean,ppb,Fordham - Bronx Pk,Winter 2009-10,12/01/2009,23.87
Nitrogen dioxide (NO2),Mean,ppb,Pelham - Throgs Neck,Summer 2017,06/01/2017,14.14
Nitrogen dioxide (NO2),Mean,ppb,Greenpoint,Winter 2018-19,12/01/2018,26.69
Nitrogen dioxide (NO2),Mean,ppb,Kingsbridge - Riverdale,Summer 2014,06/01/2014,13.55
Nitrogen dioxide (NO2),Mean,ppb,Kingsbridge - Riverdale,Winter 2018-19,12/01/2018,18.32
Nitrogen dioxide (NO2),Mean,ppb,Northeast Bronx,Summer 2014,06/01/2014,15.4
Nitrogen dioxide (NO2),Mean,ppb,Northeast Bronx,Winter 2018-19,12/01/2018,19.11
Nitrogen dioxide (NO2),Mean,ppb,West Queens,Summer 2014,06/01/2014,16.64
Nitrogen dioxide (NO2),Mean,ppb,West Queens,Winter 2018-19,12/01/2018,24.36
Nitrogen dioxide (NO2),Mean,ppb,Washington Heights,Annual Average 2011,12/01/2010,25.56
Nitrogen dioxide (NO2),Mean,ppb,Washington Heights,Annual Average 2020,01/01/2020,18.08
Nitrogen dioxide (NO2),Mean,ppb,Hunts Point - Mott Haven,Summer 2009,06/01/2009,23
Nitrogen dioxide (NO2),Mean,ppb,Hunts Point - Mott Haven,Annual Average 2013,12/01/2012,21.54
Nitrogen dioxide (NO2),Mean,ppb,Hunts Point - Mott Haven,Annual Average 2021,01/01/2021,18.52
Nitrogen dioxide (NO2),Mean,ppb,East Flatbush - Flatbush,Summer 2009,06/01/2009,21.39
Nitrogen dioxide (NO2),Mean,ppb,East Flatbush - Flatbush,Winter 2014-15,12/01/2014,25.7
Nitrogen dioxide (NO2),Mean,ppb,Canarsie - Flatlands,Winter 2010-11,12/01/2010,26.24
Nitrogen dioxide (NO2),Mean,ppb,Southwest Queens,Summer 2009,06/01/2009,18.59
Nitrogen dioxide (NO2),Mean,ppb,Morrisania and Crotona (CD3),Winter 2010-11,12/01/2010,30.92
Nitrogen dioxide (NO2),Mean,ppb,Morrisania and Crotona (CD3),Annual Average 2013,12/01/2012,22.32
Nitrogen dioxide (NO2),Mean,ppb,Lower East Side and Chinatown (CD3),Annual Average 2017,01/01/2017,23.65
Nitrogen dioxide (NO2),Mean,ppb,Central Harlem - Morningside Heights,Annual Average 2011,12/01/2010,28.23
Nitrogen dioxide (NO2),Mean,ppb,Central Harlem - Morningside Heights,Summer 2014,06/01/2014,19.54
Nitrogen dioxide (NO2),Mean,ppb,Central Harlem - Morningside Heights,Annual Average 2015,01/01/2015,23.15
Nitrogen dioxide (NO2),Mean,ppb,Central Harlem - Morningside Heights,Winter 2018-19,12/01/2018,24.69
Nitrogen dioxide (NO2),Mean,ppb,Downtown - Heights - Slope,Winter 2016-17,12/01/2016,26.27
Nitrogen dioxide (NO2),Mean,ppb,Downtown - Heights - Slope,Summer 2018,06/01/2018,16.37
Nitrogen dioxide (NO2),Mean,ppb,Kingsbridge - Riverdale,Summer 2018,06/01/2018,11.69
Nitrogen dioxide (NO2),Mean,ppb,Kingsbridge - Riverdale,Summer 2017,06/01/2017,13.02
Nitrogen dioxide (NO2),Mean,ppb,Northeast Bronx,Annual Average 2014,12/01/2013,18.97
Nitrogen dioxide (NO2),Mean,ppb,Northeast Bronx,Summer 2017,06/01/2017,14.37
Nitrogen dioxide (NO2),Mean,ppb,Northeast Bronx,Summer 2018,06/01/2018,13.05
Nitrogen dioxide (NO2),Mean,ppb,Hunts Point - Mott Haven,Winter 2009-10,12/01/2009,26.48
Nitrogen dioxide (NO2),Mean,ppb,Hunts Point - Mott Haven,Winter 2011-12,12/01/2011,25.17
Nitrogen dioxide (NO2),Mean,ppb,Bronx,Annual Average 2014,12/01/2013,19.8
Nitrogen dioxide (NO2),Mean,ppb,Bensonhurst - Bay Ridge,Annual Average 2015,01/01/2015,18.62
Nitrogen dioxide (NO2),Mean,ppb,Bensonhurst - Bay Ridge,Winter 2018-19,12/01/2018,20.53
Nitrogen dioxide (NO2),Mean,ppb,Bensonhurst - Bay Ridge,Annual Average 2020,01/01/2020,14.81
Nitrogen dioxide (NO2),Mean,ppb,Williamsburg - Bushwick,Annual Average 2009,12/01/2008,27.13
Nitrogen dioxide (NO2),Mean,ppb,Williamsburg - Bushwick,Annual Average 2011,12/01/2010,25.75
Nitrogen dioxide (NO2),Mean,ppb,Williamsburg - Bushwick,Annual Average 2015,01/01/2015,21.27
Nitrogen dioxide (NO2),Mean,ppb,Williamsburg - Bushwick,Summer 2014,06/01/2014,17
Nitrogen dioxide (NO2),Mean,ppb,Northern SI,Annual Average 2015,01/01/2015,16
Nitrogen dioxide (NO2),Mean,ppb,Northern SI,Winter 2018-19,12/01/2018,18.62
Nitrogen dioxide (NO2),Mean,ppb,Northern SI,Annual Average 2020,01/01/2020,13.11
Nitrogen dioxide (NO2),Mean,ppb,Greenpoint,Annual Average 2017,01/01/2017,21.19
Nitrogen dioxide (NO2),Mean,ppb,Greenpoint,Annual Average 2021,01/01/2021,20.55
Nitrogen dioxide (NO2),Mean,ppb,Kingsbridge - Riverdale,Winter 2010-11,12/01/2010,25.48
Nitrogen dioxide (NO2),Mean,ppb,Port Richmond,Winter 2010-11,12/01/2010,27.72
Nitrogen dioxide (NO2),Mean,ppb,Port Richmond,Winter 2014-15,12/01/2014,22.69
Nitrogen dioxide (NO2),Mean,ppb,Port Richmond,Annual Average 2017,01/01/2017,16.98
Nitrogen dioxide (NO2),Mean,ppb,Upper East Side (CD8),Winter 2014-15,12/01/2014,29.3
Nitrogen dioxide (NO2),Mean,ppb,Upper East Side (CD8),Annual Average 2021,01/01/2021,20.37
Nitrogen dioxide (NO2),Mean,ppb,Central Harlem (CD10),Winter 2014-15,12/01/2014,26.84
Nitrogen dioxide (NO2),Mean,ppb,Washington Heights and Inwood (CD12),Annual Average 2017,01/01/2017,20.14
Nitrogen dioxide (NO2),Mean,ppb,Bay Ridge and Dyker Heights (CD10),Winter 2010-11,12/01/2010,29.44
Nitrogen dioxide (NO2),Mean,ppb,Bay Ridge and Dyker Heights (CD10),Summer 2009,06/01/2009,20.38
Nitrogen dioxide (NO2),Mean,ppb,Bay Ridge and Dyker Heights (CD10),Annual Average 2013,12/01/2012,19.48
Nitrogen dioxide (NO2),Mean,ppb,Bay Ridge and Dyker Heights (CD10),Winter 2014-15,12/01/2014,25.17
Nitrogen dioxide (NO2),Mean,ppb,Bay Ridge and Dyker Heights (CD10),Annual Average 2021,01/01/2021,16.42
Nitrogen dioxide (NO2),Mean,ppb,Borough Park (CD12),Annual Average 2017,01/01/2017,19.03
Nitrogen dioxide (NO2),Mean,ppb,Borough Park (CD12),Annual Average 2021,01/01/2021,16.92
Nitrogen dioxide (NO2),Mean,ppb,Bensonhurst - Bay Ridge,Winter 2016-17,12/01/2016,23.78
Nitrogen dioxide (NO2),Mean,ppb,Bensonhurst - Bay Ridge,Summer 2018,06/01/2018,11.47
Nitrogen dioxide (NO2),Mean,ppb,Bensonhurst - Bay Ridge,Summer 2020,06/01/2020,9.8
Nitrogen dioxide (NO2),Mean,ppb,Williamsburg - Bushwick,Winter 2009-10,12/01/2009,28.63
Nitrogen dioxide (NO2),Mean,ppb,Williamsburg - Bushwick,Annual Average 2014,12/01/2013,22.2
Nitrogen dioxide (NO2),Mean,ppb,Williamsburg - Bushwick,Summer 2018,06/01/2018,15.84
Nitrogen dioxide (NO2),Mean,ppb,Pelham - Throgs Neck,Winter 2016-17,12/01/2016,25.91
Nitrogen dioxide (NO2),Mean,ppb,Flushing - Clearview,Annual Average 2014,12/01/2013,19.45
Nitrogen dioxide (NO2),Mean,ppb,Flushing - Clearview,Summer 2020,06/01/2020,11.03
Nitrogen dioxide (NO2),Mean,ppb,Borough Park,Winter 2009-10,12/01/2009,28.09
Nitrogen dioxide (NO2),Mean,ppb,Borough Park,Winter 2011-12,12/01/2011,23.5
Nitrogen dioxide (NO2),Mean,ppb,Lower Manhattan,Summer 2020,06/01/2020,16.58
Nitrogen dioxide (NO2),Mean,ppb,Lower Manhattan,Summer 2017,06/01/2017,22.95
Nitrogen dioxide (NO2),Mean,ppb,Lower Manhattan,Winter 2016-17,12/01/2016,30.24
Nitrogen dioxide (NO2),Mean,ppb,Borough Park,Summer 2017,06/01/2017,13.77
Nitrogen dioxide (NO2),Mean,ppb,Borough Park,Winter 2016-17,12/01/2016,25.04
Nitrogen dioxide (NO2),Mean,ppb,Bensonhurst - Bay Ridge,Winter 2009-10,12/01/2009,26.54
Nitrogen dioxide (NO2),Mean,ppb,Bensonhurst - Bay Ridge,Summer 2018,06/01/2018,11.47
Nitrogen dioxide (NO2),Mean,ppb,Coney Island - Sheepshead Bay,Winter 2011-12,12/01/2011,19.46
Nitrogen dioxide (NO2),Mean,ppb,Coney Island - Sheepshead Bay,Annual Average 2014,12/01/2013,17.63
Nitrogen dioxide (NO2),Mean,ppb,Rockaways,Winter 2011-12,12/01/2011,15.89
Nitrogen dioxide (NO2),Mean,ppb,Southeast Queens,Winter 2016-17,12/01/2016,24.02
Nitrogen dioxide (NO2),Mean,ppb,East Harlem,Winter 2011-12,12/01/2011,27.76
Nitrogen dioxide (NO2),Mean,ppb,Upper West Side,Winter 2009-10,12/01/2009,30.23
Nitrogen dioxide (NO2),Mean,ppb,Bedford Stuyvesant - Crown Heights,Winter 2010-11,12/01/2010,32.21
Nitrogen dioxide (NO2),Mean,ppb,Bedford Stuyvesant - Crown Heights,Summer 2009,06/01/2009,23.2
Nitrogen dioxide (NO2),Mean,ppb,Bedford Stuyvesant - Crown Heights,Annual Average 2013,12/01/2012,22.28
Nitrogen dioxide (NO2),Mean,ppb,East New York,Winter 2010-11,12/01/2010,30.26
Nitrogen dioxide (NO2),Mean,ppb,East New York,Winter 2014-15,12/01/2014,24.99
Nitrogen dioxide (NO2),Mean,ppb,East New York,Annual Average 2021,01/01/2021,16.12
Nitrogen dioxide (NO2),Mean,ppb,Fordham - Bronx Pk,Summer 2009,06/01/2009,21.15
Nitrogen dioxide (NO2),Mean,ppb,Fordham - Bronx Pk,Winter 2014-15,12/01/2014,23.33
Nitrogen dioxide (NO2),Mean,ppb,Pelham - Throgs Neck,Annual Average 2013,12/01/2012,18.58
Nitrogen dioxide (NO2),Mean,ppb,Pelham - Throgs Neck,Annual Average 2017,01/01/2017,18.72
Nitrogen dioxide (NO2),Mean,ppb,Flushing - Clearview,Annual Average 2021,01/01/2021,15.66
Nitrogen dioxide (NO2),Mean,ppb,Upper East Side-Gramercy,Annual Average 2013,12/01/2012,32.1
Nitrogen dioxide (NO2),Mean,ppb,Upper East Side-Gramercy,Summer 2009,06/01/2009,35.65
Nitrogen dioxide (NO2),Mean,ppb,Upper East Side-Gramercy,Annual Average 2021,01/01/2021,21.83
Nitrogen dioxide (NO2),Mean,ppb,Chelsea-Village,Summer 2009,06/01/2009,35.28
Nitrogen dioxide (NO2),Mean,ppb,Hunts Point and Longwood (CD2),Annual Average 2015,01/01/2015,20.85
Nitrogen dioxide (NO2),Mean,ppb,Bronx,Summer 2018,06/01/2018,13.62
Nitrogen dioxide (NO2),Mean,ppb,Bronx,Summer 2020,06/01/2020,13.16
Nitrogen dioxide (NO2),Mean,ppb,Bronx,Winter 2009-10,12/01/2009,24.39
Nitrogen dioxide (NO2),Mean,ppb,Bronx,Summer 2017,06/01/2017,14.97
Nitrogen dioxide (NO2),Mean,ppb,Brooklyn,Winter 2011-12,12/01/2011,23.5
Nitrogen dioxide (NO2),Mean,ppb,Brooklyn,Summer 2020,06/01/2020,10.82
Nitrogen dioxide (NO2),Mean,ppb,East Flatbush - Flatbush,Summer 2017,06/01/2017,13.75
Nitrogen dioxide (NO2),Mean,ppb,Canarsie - Flatlands,Annual Average 2014,12/01/2013,17
Nitrogen dioxide (NO2),Mean,ppb,Canarsie - Flatlands,Summer 2017,06/01/2017,10.26
Nitrogen dioxide (NO2),Mean,ppb,Southwest Queens,Winter 2009-10,12/01/2009,26.12
Nitrogen dioxide (NO2),Mean,ppb,Southwest Queens,Winter 2016-17,12/01/2016,24.86
Nitrogen dioxide (NO2),Mean,ppb,Jamaica,Winter 2016-17,12/01/2016,24.81
Nitrogen dioxide (NO2),Mean,ppb,Jamaica,Summer 2018,06/01/2018,12.77
Nitrogen dioxide (NO2),Mean,ppb,Central Harlem - Morningside Heights,Annual Average 2014,12/01/2013,23.86
Nitrogen dioxide (NO2),Mean,ppb,Central Harlem - Morningside Heights,Summer 2017,06/01/2017,18.89
Nitrogen dioxide (NO2),Mean,ppb,Central Harlem - Morningside Heights,Winter 2016-17,12/01/2016,28.51
Nitrogen dioxide (NO2),Mean,ppb,Greenpoint,Annual Average 2021,01/01/2021,20.55
Nitrogen dioxide (NO2),Mean,ppb,Downtown - Heights - Slope,Annual Average 2017,01/01/2017,21.12
Nitrogen dioxide (NO2),Mean,ppb,Kingsbridge - Riverdale,Annual Average 2021,01/01/2021,14.77
Nitrogen dioxide (NO2),Mean,ppb,Northeast Bronx,Summer 2009,06/01/2009,17.94
Nitrogen dioxide (NO2),Mean,ppb,Northeast Bronx,Winter 2010-11,12/01/2010,25.99
Nitrogen dioxide (NO2),Mean,ppb,Northeast Bronx,Winter 2014-15,12/01/2014,23.37
Nitrogen dioxide (NO2),Mean,ppb,West Queens,Winter 2014-15,12/01/2014,26.21
Nitrogen dioxide (NO2),Mean,ppb,West Queens,Annual Average 2017,01/01/2017,20.56
Nitrogen dioxide (NO2),Mean,ppb,West Queens,Annual Average 2021,01/01/2021,18.56
Nitrogen dioxide (NO2),Mean,ppb,Washington Heights,Winter 2010-11,12/01/2010,30.54
Nitrogen dioxide (NO2),Mean,ppb,Morrisania and Crotona (CD3),Annual Average 2009,12/01/2008,27.71
Nitrogen dioxide (NO2),Mean,ppb,Morrisania and Crotona (CD3),Annual Average 2011,12/01/2010,25.3
Nitrogen dioxide (NO2),Mean,ppb,Lower East Side and Chinatown (CD3),Annual Average 2009,12/01/2008,31.8
Nitrogen dioxide (NO2),Mean,ppb,Lower East Side and Chinatown (CD3),Summer 2014,06/01/2014,21.27
Nitrogen dioxide (NO2),Mean,ppb,Lower East Side and Chinatown (CD3),Annual Average 2020,01/01/2020,19.36
Nitrogen dioxide (NO2),Mean,ppb,Hunts Point - Mott Haven,Summer 2014,06/01/2014,16.43
Nitrogen dioxide (NO2),Mean,ppb,Hunts Point - Mott Haven,Winter 2018-19,12/01/2018,24.22
Nitrogen dioxide (NO2),Mean,ppb,Brooklyn,Annual Average 2009,12/01/2008,24.11
Nitrogen dioxide (NO2),Mean,ppb,Sunset Park,Annual Average 2011,12/01/2010,23.86
Nitrogen dioxide (NO2),Mean,ppb,Southeast Queens,Annual Average 2020,01/01/2020,13.02
Nitrogen dioxide (NO2),Mean,ppb,East New York,Annual Average 2014,12/01/2013,19.75
Nitrogen dioxide (NO2),Mean,ppb,East New York,Summer 2017,06/01/2017,13.39
Nitrogen dioxide (NO2),Mean,ppb,Upper West Side (CD7),Winter 2010-11,12/01/2010,33.62
Nitrogen dioxide (NO2),Mean,ppb,Upper West Side (CD7),Summer 2009,06/01/2009,28.43
Nitrogen dioxide (NO2),Mean,ppb,Upper West Side (CD7),Winter 2014-15,12/01/2014,27.42
Nitrogen dioxide (NO2),Mean,ppb,Sunset Park,Summer 2018,06/01/2018,14.4
Nitrogen dioxide (NO2),Mean,ppb,Sunset Park,Summer 2017,06/01/2017,14.14
Nitrogen dioxide (NO2),Mean,ppb,Bayside Little Neck-Fresh Meadows,Summer 2017,06/01/2017,13.08
Nitrogen dioxide (NO2),Mean,ppb,Bayside Little Neck-Fresh Meadows,Summer 2018,06/01/2018,11.98
Nitrogen dioxide (NO2),Mean,ppb,Pelham - Throgs Neck,Summer 2018,06/01/2018,12.84
Nitrogen dioxide (NO2),Mean,ppb,Pelham - Throgs Neck,Summer 2020,06/01/2020,12.14
Nitrogen dioxide (NO2),Mean,ppb,Williamsburg - Bushwick,Winter 2011-12,12/01/2011,26.68
Nitrogen dioxide (NO2),Mean,ppb,Williamsburg - Bushwick,Summer 2018,06/01/2018,15.84
Nitrogen dioxide (NO2),Mean,ppb,East New York,Summer 2014,06/01/2014,14.16
Nitrogen dioxide (NO2),Mean,ppb,Sunset Park,Winter 2014-15,12/01/2014,25.37
Nitrogen dioxide (NO2),Mean,ppb,Sunset Park,Annual Average 2017,01/01/2017,18.87
Nitrogen dioxide (NO2),Mean,ppb,Sunset Park,Annual Average 2021,01/01/2021,18.03
Nitrogen dioxide (NO2),Mean,ppb,Southeast Queens,Winter 2014-15,12/01/2014,22.67
Nitrogen dioxide (NO2),Mean,ppb,Upper West Side (CD7),Annual Average 2020,01/01/2020,19.63
Nitrogen dioxide (NO2),Mean,ppb,Rockaway and Broad Channel (CD14),Annual Average 2009,12/01/2008,14.55
Nitrogen dioxide (NO2),Mean,ppb,Rockaway and Broad Channel (CD14),Annual Average 2011,12/01/2010,14.15
Nitrogen dioxide (NO2),Mean,ppb,Rockaway and Broad Channel (CD14),Winter 2018-19,12/01/2018,13.88
Nitrogen dioxide (NO2),Mean,ppb,Pelham - Throgs Neck,Annual Average 2020,01/01/2020,16.19
Nitrogen dioxide (NO2),Mean,ppb,Williamsburg - Bushwick,Annual Average 2009,12/01/2008,27.13
Nitrogen dioxide (NO2),Mean,ppb,Upper West Side,Annual Average 2009,12/01/2008,31.95
Nitrogen dioxide (NO2),Mean,ppb,Upper West Side,Annual Average 2011,12/01/2010,29.3
Nitrogen dioxide (NO2),Mean,ppb,Upper West Side,Summer 2014,06/01/2014,20.87
Nitrogen dioxide (NO2),Mean,ppb,Upper West Side,Winter 2018-19,12/01/2018,25.25
Nitrogen dioxide (NO2),Mean,ppb,Upper West Side,Annual Average 2020,01/01/2020,19.62
Nitrogen dioxide (NO2),Mean,ppb,Staten Island,Annual Average 2011,12/01/2010,16.17
Nitrogen dioxide (NO2),Mean,ppb,Upper West Side (CD7),Winter 2011-12,12/01/2011,28.89
Nitrogen dioxide (NO2),Mean,ppb,Upper West Side (CD7),Winter 2009-10,12/01/2009,30.21
Nitrogen dioxide (NO2),Mean,ppb,Borough Park,Annual Average 2011,12/01/2010,23.32
Nitrogen dioxide (NO2),Mean,ppb,Canarsie - Flatlands,Annual Average 2011,12/01/2010,19.21
Nitrogen dioxide (NO2),Mean,ppb,Canarsie - Flatlands,Annual Average 2009,12/01/2008,20.22
Nitrogen dioxide (NO2),Mean,ppb,Canarsie - Flatlands,Annual Average 2015,01/01/2015,16.52
Nitrogen dioxide (NO2),Mean,ppb,Long Island City - Astoria,Annual Average 2011,12/01/2010,25.24
Nitrogen dioxide (NO2),Mean,ppb,Long Island City - Astoria,Annual Average 2009,12/01/2008,26.29
Nitrogen dioxide (NO2),Mean,ppb,Long Island City - Astoria,Annual Average 2020,01/01/2020,18.94
Nitrogen dioxide (NO2),Mean,ppb,South Bronx,Annual Average 2020,01/01/2020,18.59
Nitrogen dioxide (NO2),Mean,ppb,South Bronx,Winter 2018-19,12/01/2018,23.64
Nitrogen dioxide (NO2),Mean,ppb,Coney Island (CD13),Winter 2014-15,12/01/2014,23.05
Nitrogen dioxide (NO2),Mean,ppb,Borough Park,Winter 2009-10,12/01/2009,28.09
Nitrogen dioxide (NO2),Mean,ppb,Borough Park,Winter 2011-12,12/01/2011,23.5
Nitrogen dioxide (NO2),Mean,ppb,Canarsie - Flatlands,Winter 2011-12,12/01/2011,20.3
Nitrogen dioxide (NO2),Mean,ppb,Jamaica,Winter 2011-12,12/01/2011,22.78
Nitrogen dioxide (NO2),Mean,ppb,Jamaica,Annual Average 2014,12/01/2013,18.82
Nitrogen dioxide (NO2),Mean,ppb,Jamaica,Summer 2018,06/01/2018,12.77
Nitrogen dioxide (NO2),Mean,ppb,Jamaica,Winter 2016-17,12/01/2016,24.81
Nitrogen dioxide (NO2),Mean,ppb,Jamaica,Summer 2020,06/01/2020,9.35
Nitrogen dioxide (NO2),Mean,ppb,Long Island City - Astoria,Winter 2011-12,12/01/2011,26.18
Nitrogen dioxide (NO2),Mean,ppb,Long Island City - Astoria,Summer 2017,06/01/2017,16.21
Nitrogen dioxide (NO2),Mean,ppb,South Bronx,Winter 2016-17,12/01/2016,27.47
Nitrogen dioxide (NO2),Mean,ppb,South Bronx,Summer 2020,06/01/2020,14.49
Nitrogen dioxide (NO2),Mean,ppb,South Bronx,Summer 2017,06/01/2017,16.75
Nitrogen dioxide (NO2),Mean,ppb,South Bronx,Summer 2018,06/01/2018,15.38
Nitrogen dioxide (NO2),Mean,ppb,Borough Park,Annual Average 2013,12/01/2012,20.23
Nitrogen dioxide (NO2),Mean,ppb,Canarsie - Flatlands,Winter 2010-11,12/01/2010,26.24
Nitrogen dioxide (NO2),Mean,ppb,Jamaica,Winter 2010-11,12/01/2010,28.44
Nitrogen dioxide (NO2),Mean,ppb,Jamaica,Summer 2009,06/01/2009,18.49
Nitrogen dioxide (NO2),Mean,ppb,Queens Village (CD13),Annual Average 2011,12/01/2010,19.33
Nitrogen dioxide (NO2),Mean,ppb,Queens Village (CD13),Annual Average 2009,12/01/2008,19.92
Nitrogen dioxide (NO2),Mean,ppb,Queens Village (CD13),Summer 2014,06/01/2014,12.11
Nitrogen dioxide (NO2),Mean,ppb,Queens Village (CD13),Winter 2018-19,12/01/2018,18.04
Nitrogen dioxide (NO2),Mean,ppb,Queens,Annual Average 2020,01/01/2020,14.82
Nitrogen dioxide (NO2),Mean,ppb,Long Island City - Astoria,Winter 2010-11,12/01/2010,31.48
Nitrogen dioxide (NO2),Mean,ppb,Long Island City - Astoria,Summer 2009,06/01/2009,21.87
Nitrogen dioxide (NO2),Mean,ppb,Northern SI,Summer 2017,06/01/2017,11.34
Nitrogen dioxide (NO2),Mean,ppb,Northern SI,Summer 2018,06/01/2018,10.37
Nitrogen dioxide (NO2),Mean,ppb,Northern SI,Summer 2020,06/01/2020,8.64
Nitrogen dioxide (NO2),Mean,ppb,Northern SI,Winter 2016-17,12/01/2016,20.47
Nitrogen dioxide (NO2),Mean,ppb,Greenpoint,Summer 2017,06/01/2017,16.36
Nitrogen dioxide (NO2),Mean,ppb,Kingsbridge - Riverdale,Summer 2018,06/01/2018,11.69
Nitrogen dioxide (NO2),Mean,ppb,Washington Heights,Winter 2011-12,12/01/2011,25.92
Nitrogen dioxide (NO2),Mean,ppb,Washington Heights,Summer 2017,06/01/2017,16.69
Nitrogen dioxide (NO2),Mean,ppb,Long Island City - Astoria,Summer 2017,06/01/2017,16.21
Nitrogen dioxide (NO2),Mean,ppb,Bensonhurst - Bay Ridge,Annual Average 2021,01/01/2021,16.03
Nitrogen dioxide (NO2),Mean,ppb,Williamsburg - Bushwick,Summer 2009,06/01/2009,23.14
Nitrogen dioxide (NO2),Mean,ppb,Williamsburg - Bushwick,Annual Average 2021,01/01/2021,19.04
Nitrogen dioxide (NO2),Mean,ppb,Northern SI,Winter 2014-15,12/01/2014,21.77
Nitrogen dioxide (NO2),Mean,ppb,Northern SI,Annual Average 2017,01/01/2017,15.45
Nitrogen dioxide (NO2),Mean,ppb,Northern SI,Annual Average 2021,01/01/2021,14.76
Nitrogen dioxide (NO2),Mean,ppb,Upper East Side (CD8),Annual Average 2015,01/01/2015,25.77
Nitrogen dioxide (NO2),Mean,ppb,Upper East Side (CD8),Winter 2018-19,12/01/2018,26.54
Nitrogen dioxide (NO2),Mean,ppb,Central Harlem (CD10),Annual Average 2015,01/01/2015,23.25
Nitrogen dioxide (NO2),Mean,ppb,Washington Heights and Inwood (CD12),Summer 2014,06/01/2014,16.63
Nitrogen dioxide (NO2),Mean,ppb,Bay Ridge and Dyker Heights (CD10),Annual Average 2009,12/01/2008,23.62
Nitrogen dioxide (NO2),Mean,ppb,Bay Ridge and Dyker Heights (CD10),Annual Average 2015,01/01/2015,19.16
Nitrogen dioxide (NO2),Mean,ppb,Throgs Neck and Co-op City (CD10),Annual Average 2009,12/01/2008,21.33
Nitrogen dioxide (NO2),Mean,ppb,Throgs Neck and Co-op City (CD10),Annual Average 2011,12/01/2010,20.44
Nitrogen dioxide (NO2),Mean,ppb,Throgs Neck and Co-op City (CD10),Winter 2018-19,12/01/2018,19.26
Nitrogen dioxide (NO2),Mean,ppb,Throgs Neck and Co-op City (CD10),Annual Average 2020,01/01/2020,15.54
